label,n_drugs,discouraged,systolic_delta,diastolic_delta,has_ace_inhibitor,has_arb,has_beta_blocker,has_calcium_channel_blocker,has_thiazide_diuretic,mean_potency_z,mean_molecular_weight,mean_logp,mean_tpsa,mean_h_bond_donors,mean_h_bond_acceptors,mean_rotatable_bonds,mean_aromatic_rings
losartan+diltiazem,2,False,17.225758036768685,10.447990961261606,0,1,0,1,0,-0.6084756159598781,418.725,3.82,75.795,1.0,5.5,7.0,3.0
valsartan+amlodipine,2,False,17.30271677712271,10.522836223360452,0,1,0,1,0,-0.5290668816344866,422.205,3.215,105.975,2.0,6.0,9.0,2.0
valsartan+nifedipine,2,False,18.29474381819085,11.187945262258408,0,1,0,1,0,0.2149295912794838,390.93499999999995,3.17,109.91999999999999,1.5,6.0,7.0,2.0
valsartan+diltiazem,2,False,17.02715371015934,10.338083712555465,0,1,0,1,0,-0.7357325685550338,425.03,3.765,85.57499999999999,1.0,5.5,8.0,2.5
irbesartan+amlodipine,2,False,18.742598145040464,11.319663776479983,0,1,0,1,0,0.3935460246803911,418.71000000000004,3.5250000000000004,93.505,1.5,6.0,7.5,2.0
irbesartan+nifedipine,2,False,19.7346251861086,11.984772815377939,0,1,0,1,0,1.1375424975943615,387.44,3.4800000000000004,97.44999999999999,1.0,6.0,5.5,2.0
irbesartan+diltiazem,2,False,18.46703507807709,11.134911265674996,0,1,0,1,0,0.18688033775984397,421.53499999999997,4.075,73.10499999999999,0.5,5.5,6.5,2.5
lisinopril+losartan,2,True,17.88354626537614,9.892846789308923,1,1,0,0,0,0.10923386682897646,414.21000000000004,2.755,112.73500000000001,3.0,5.0,10.0,2.5
lisinopril+valsartan,2,True,17.684941938766798,9.782939540602781,1,1,0,0,0,-0.01802308576617917,420.515,2.7,122.515,3.0,5.0,11.0,2.0
lisinopril+irbesartan,2,True,19.124823306684544,10.579767093722314,1,1,0,0,0,0.9045898205486986,417.02,3.0100000000000002,110.045,2.5,5.0,9.5,2.0
enalapril+losartan,2,True,16.715398838316712,9.246929976699594,1,1,0,0,0,-0.7977692289063373,399.685,2.9349999999999996,94.225,2.0,5.0,8.5,2.5
enalapril+valsartan,2,True,16.516794511707367,9.13702272799345,1,1,0,0,0,-0.9250261815014929,405.99,2.88,104.005,2.0,5.0,9.5,2.0
enalapril+irbesartan,2,True,17.95667587962512,9.933850281112983,1,1,0,0,0,-0.0024132751866151603,402.495,3.1900000000000004,91.535,1.5,5.0,8.0,2.0
ramipril+losartan,2,True,17.769182181608084,9.829610178284234,1,1,0,0,0,0.020436360952792637,419.72,3.3249999999999997,94.225,2.0,5.0,8.5,2.5
ramipril+valsartan,2,True,17.57057785499874,9.719702929578093,1,1,0,0,0,-0.10682059164236299,426.025,3.27,104.005,2.0,5.0,9.5,2.0
ramipril+irbesartan,2,True,19.010459222916488,10.516530482697624,1,1,0,0,0,0.8157923146725148,422.53,3.58,91.535,1.5,5.0,8.0,2.0
losartan+hydrochlorothiazide,2,False,17.740142428433646,9.372362314764251,0,1,0,0,1,-0.2226996670415231,360.33500000000004,1.9599999999999997,105.435,2.5,5.0,4.5,2.5
losartan+chlorthalidone,2,False,17.740142428433646,9.372362314764251,0,1,0,0,1,-0.2226996670415231,380.845,2.5949999999999998,101.0,2.5,4.5,5.0,3.0
losartan+indapamide,2,False,17.740142428433646,9.372362314764251,0,1,0,0,1,-0.2226996670415231,394.38,3.175,92.505,2.0,4.5,5.5,3.0
valsartan+hydrochlorothiazide,2,False,17.5415381018243,9.262455066058108,0,1,0,0,1,-0.34995661963667873,366.64,1.905,115.215,2.5,5.0,5.5,2.0
valsartan+chlorthalidone,2,False,17.5415381018243,9.262455066058108,0,1,0,0,1,-0.34995661963667873,387.15,2.54,110.78,2.5,4.5,6.0,2.5
valsartan+indapamide,2,False,17.5415381018243,9.262455066058108,0,1,0,0,1,-0.34995661963667873,400.68499999999995,3.12,102.285,2.0,4.5,6.5,2.5
irbesartan+hydrochlorothiazide,2,False,18.98141946974205,10.059282619177639,0,1,0,0,1,0.572656286678199,363.145,2.2150000000000003,102.745,2.0,5.0,4.0,2.0
irbesartan+chlorthalidone,2,False,18.98141946974205,10.059282619177639,0,1,0,0,1,0.572656286678199,383.655,2.85,98.31,2.0,4.5,4.5,2.5
irbesartan+indapamide,2,False,18.98141946974205,10.059282619177639,0,1,0,0,1,0.572656286678199,397.19,3.43,89.815,1.5,4.5,5.0,2.5
lisinopril+hydrochlorothiazide,2,False,16.810603836942494,8.854084474544674,1,0,0,0,1,0.33193353387049956,351.625,0.445,125.66,3.5,5.0,6.5,1.0
lisinopril+chlorthalidone,2,False,16.810603836942494,8.854084474544674,1,0,0,0,1,0.33193353387049956,372.135,1.08,121.225,3.5,4.5,7.0,1.5
lisinopril+indapamide,2,False,16.810603836942494,8.854084474544674,1,0,0,0,1,0.33193353387049956,385.66999999999996,1.6600000000000001,112.73,3.0,4.5,7.5,1.5
enalapril+hydrochlorothiazide,2,False,15.642456409883067,8.208167661935345,1,0,0,0,1,-0.5750695618648142,337.1,0.625,107.15,2.5,5.0,5.0,1.0
enalapril+chlorthalidone,2,False,15.642456409883067,8.208167661935345,1,0,0,0,1,-0.5750695618648142,357.61,1.26,102.715,2.5,4.5,5.5,1.5
enalapril+indapamide,2,False,15.642456409883067,8.208167661935345,1,0,0,0,1,-0.5750695618648142,371.145,1.84,94.22,2.0,4.5,6.0,1.5
ramipril+hydrochlorothiazide,2,False,16.69623975317444,8.790847863519984,1,0,0,0,1,0.24313602799431575,357.135,1.015,107.15,2.5,5.0,5.0,1.0
ramipril+chlorthalidone,2,False,16.69623975317444,8.790847863519984,1,0,0,0,1,0.24313602799431575,377.645,1.65,102.715,2.5,4.5,5.5,1.5
ramipril+indapamide,2,False,16.69623975317444,8.790847863519984,1,0,0,0,1,0.24313602799431575,391.17999999999995,2.23,94.22,2.0,4.5,6.0,1.5
lisinopril+amlodipine,2,False,16.571782512240908,10.114465631847018,1,0,0,1,0,0.1528232718726917,407.19,1.755,116.42,3.0,6.0,10.0,1.0
lisinopril+nifedipine,2,False,17.563809553309046,10.779574670744974,1,0,0,1,0,0.8968197447866622,375.91999999999996,1.71,120.36500000000001,2.5,6.0,8.0,1.0
lisinopril+diltiazem,2,False,16.296219445277533,9.929713121042031,1,0,0,1,0,-0.053842415047855474,410.015,2.305,96.02000000000001,2.0,5.5,9.0,1.5
enalapril+amlodipine,2,False,15.40363508518148,9.46854881923769,1,0,0,1,0,-0.7541798238626221,392.66499999999996,1.935,97.91,2.0,6.0,8.5,1.0
enalapril+nifedipine,2,False,16.39566212624962,10.133657858135646,1,0,0,1,0,-0.010183350948651637,361.395,1.8900000000000001,101.85499999999999,1.5,6.0,6.5,1.0
enalapril+diltiazem,2,False,15.128072018218107,9.2837963084327,1,0,0,1,0,-0.9608455107831693,395.49,2.4850000000000003,77.50999999999999,1.0,5.5,7.5,1.5
ramipril+amlodipine,2,False,16.45741842847285,10.051229020822326,1,0,0,1,0,0.06402576599650789,412.7,2.325,97.91,2.0,6.0,8.5,1.0
ramipril+nifedipine,2,False,17.449445469540986,10.716338059720284,1,0,0,1,0,0.8080222389104783,381.42999999999995,2.2800000000000002,101.85499999999999,1.5,6.0,6.5,1.0
ramipril+diltiazem,2,False,16.181855361509477,9.866476510017339,1,0,0,1,0,-0.1426399209240393,415.525,2.875,77.50999999999999,1.0,5.5,7.5,1.5
